Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Kilometers_Per_Year,Is_First_Owner
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,12.5,11,Hyundai,3417.0,1
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,20.8,1199.0,88.7,5.0,8.61,4.5,15,Honda,2875.0,1
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,11.215,6.0,14,Maruti,5800.0,1
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,17.74,13,Audi,2905.0,0
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,11.75,3.5,13,Nissan,6214.0,1
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,21.0,17.5,10,Toyota,3273.0,1
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,11.75,5.2,13,Volkswagen,4602.0,1
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,11.75,1.95,14,Tata,4395.0,0
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65,9.95,8,Maruti,2855.0,1
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,11.75,4.49,14,Honda,4000.0,1
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,11.75,5.6,11,Maruti,5369.0,1
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,27.0,12,Land,5538.0,1
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,17.5,14,Land,5667.0,0
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,32.01,15.0,12,Mitsubishi,8462.0,1
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11.75,5.4,10,Honda,5359.0,1
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,11.75,5.99,9,Maruti,2500.0,1
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,11.75,6.34,12,Renault,5959.0,1
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,28.0,12,Mercedes-Benz,6038.0,1
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,47.87,18.55,12,BMW,2537.0,1
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,11.75,8.25,11,Maruti,4616.0,0
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,23.5,11,Audi,4665.0,1
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,11.75,1.87,16,Hyundai,2695.0,1
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,11.75,2.85,16,Volkswagen,1941.0,1
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.75,4.25,14,Honda,3461.0,1
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,26.368000000000002,1461.0,63.1,5.0,11.75,4.25,14,Nissan,3600.0,1
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,11.75,2.75,13,Maruti,3857.0,0
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57,9.9,8,Honda,4159.0,1
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,11.75,4.0,19,Toyota,13100.0,0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,11.75,7.75,13,Renault,4429.0,1
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,11.75,6.75,14,Toyota,5841.0,1
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,12.5,13,Mahindra,5143.0,0
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.75,11.5,16,Audi,2059.0,1
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,12.33,6.98,12,Volkswagen,4264.0,0
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,11.75,1.85,17,Maruti,4656.0,0
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.12,8.63,8,Maruti,5564.0,1
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,11.75,4.85,9,Mahindra,5200.0,1
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,28.0,13,Mercedes-Benz,6071.0,1
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.75,5.0,13,Volkswagen,4429.0,1
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,11.75,1.25,18,Maruti,4737.0,0
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,11.75,1.53,12,Tata,1515.0,1
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,11.75,5.58,9,Mahindra,2203.0,1
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,11.75,4.74,12,Hyundai,2730.0,1
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64,8.85,12,Hyundai,3567.0,1
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,11.75,10.11,10,Toyota,4727.0,1
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,11.75,4.25,18,Hyundai,3053.0,0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64,10.95,14,Toyota,4714.0,1
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,11.75,3.85,12,Hyundai,5769.0,1
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,11.75,5.5,14,Mahindra,5053.0,0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,21.43,11,Audi,1137.0,1
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.13,4.25,12,Maruti,4000.0,1
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,11.75,3.3,12,Maruti,4077.0,1
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.92,3.85,13,Maruti,4689.0,1
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,11.75,3.6,11,Hyundai,4500.0,0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,11.75,3.99,11,Volkswagen,3250.0,1
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,11.75,3.3,9,Renault,1654.0,1
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,11.75,2.07,16,Hyundai,1882.0,1
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,15.184000000000001,1995.0,147.6,5.0,11.75,7.75,16,Nissan,7165.0,1
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,11.75,2.25,16,Maruti,2312.0,1
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,19.34,16.5,9,Toyota,2200.0,1
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,11.75,2.75,16,Ford,4235.0,1
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,26.7,11,Mercedes-Benz,4833.0,1
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,11.75,10.0,15,Mercedes-Benz,4062.0,0
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,11.75,2.5,10,Tata,16182.0,1
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,13.5,14,Audi,4378.0,1
