Brand,Average_Price_Lakh,Average_Power_BHP,Average_Kilometers_Per_Year,Count,Popular_list
Mercedes-Benz,29.06,192.66,3444.53,260,Yes
BMW,27.56,211.24,4090.77,205,Yes
Audi,26.21,191.74,3947.15,188,Yes
Toyota,12.67,128.8,5648.36,320,Yes
Mahindra,8.53,121.79,4964.91,219,Yes
Skoda,8.21,128.58,4736.31,144,Yes
Ford,7.99,100.33,4304.88,232,Yes
Hyundai,5.83,92.36,3651.15,882,Yes
Renault,5.77,85.5,4127.91,127,Yes
Honda,5.73,106.12,3762.37,499,Yes
Volkswagen,5.37,94.08,4201.04,266,Yes
Maruti,4.88,75.33,3872.08,972,Yes
Nissan,4.81,85.52,4661.96,75,Yes
Tata,4.14,80.81,4605.37,135,Yes
Chevrolet,3.19,91.29,4164.53,88,Yes
Bentley,59.0,552.0,2286.0,1,No
Porsche,49.26,314.21,3666.36,11,No
Land,43.42,188.23,4512.93,42,No
Jaguar,38.69,242.47,2702.17,36,No
Mini,28.35,150.57,1926.45,20,No
Isuzu,20.0,174.57,3443.0,1,No
Volvo,19.21,192.25,5377.0,16,No
Jeep,18.72,169.33,2956.07,15,No
Mitsubishi,13.29,149.33,4883.84,19,No
ISUZU,12.04,134.0,2384.5,2,No
Force,9.33,139.03,3384.67,3,No
Fiat,3.72,89.62,4110.2,20,No
Datsun,3.05,59.72,1857.46,13,No
